productUrl,pdfUrl,filename
"https://www.plexonics.com/index.php/products/enterprise-networking/wireless/outdoor-access-point/pl-5232g-op-v2","https://www.plexonics.com/images/DATASHEETS/2021September/Wireless/PL-5232G-OP-V2-Rev12e.pdf","PL-5232G-OP-V2-Rev12e.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/wireless/wireless-controllers/pl-4106wc","https://www.plexonics.com/images/DATASHEETS/2021September/Wireless/PL-4106WC-Rev14e.pdf","PL-4106WC-Rev14e.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/wireless/wireless-controllers/pl-4228wc","https://www.plexonics.com/images/DATASHEETS/PL-4228WC-Datasheet.pdf","PL-4228WC-Datasheet.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/wireless/wireless-adaptor/pl-5112-usb-300mbps-wireless-usb-adapter","https://www.plexonics.com/images/DATASHEETS/2021September/Wireless/PL-5112-USB_Wireless_USB_Adapter.pdf","PL-5112-USB_Wireless_USB_Adapter.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-cables","https://www.plexonics.com/images/DATASHEETS/Unshielded_Twisted_Pair_CAT_6-23AWG-datasheet.pdf","Unshielded_Twisted_Pair_CAT_6-23AWG-datasheet.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-cables/armoured-utp-cat6-cable","https://www.plexonics.com/images/DATASHEETS/Armored-UTP-CAT-6-23UTP-datasheet.pdf","Armored-UTP-CAT-6-23UTP-datasheet.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-cables/cat6-utp-23awg-copper-cable","https://www.plexonics.com/images/DATASHEETS/2023/Copper/Unshielded_Twisted_Pair_CAT_6-Rev12.pdf","Unshielded_Twisted_Pair_CAT_6-Rev12.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-cables/cat6-utp-23awg-copper-cable-2","https://www.plexonics.com/images/DATASHEETS/2023/Outdoor_Twisted_Pair_CAT_6Rev11.pdf","Outdoor_Twisted_Pair_CAT_6Rev11.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-cables/cat6a-utp-23awg-copper-cable-2","https://www.plexonics.com/images/DATASHEETS/2023/Copper/Unshielded_Twisted_Pair_CAT6A-Rev11.pdf","Unshielded_Twisted_Pair_CAT6A-Rev11.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-cables/cat6-sftp-23awg-copper-cable","https://www.plexonics.com/images/DATASHEETS/2021September/Passive1/SFTP_CAT_6_Cable-Rev12e.pdf","SFTP_CAT_6_Cable-Rev12e.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-cables/armoured-shielded-foiled-twisted-pair-category-6","https://www.plexonics.com/images/DATASHEETS/Armoured_Shielded_Foiled_Twisted_Pair_CAT_6-datasheet.pdf","Armoured_Shielded_Foiled_Twisted_Pair_CAT_6-datasheet.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/fiber-cables/sm-unitube-armoured-fiber-cable","https://www.plexonics.com/images/DATASHEETS/2021September/Passive/SM_Armored_Unitube_Cable-Rev11e.pdf","SM_Armored_Unitube_Cable-Rev11e.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/fiber-cables/sm-multitube-armoured-fiber-cable","https://www.plexonics.com/images/DATASHEETS/2021September/Passive1/SM_Armored_Multitube_Cable-Rev12e.pdf","SM_Armored_Multitube_Cable-Rev12e.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/fiber-cables/mm-unitube-armoured-fiber-cable","https://www.plexonics.com/images/DATASHEETS/2023/Fiber/MM_Armored_OM2_Unitube_Cable-Rev11.pdf","MM_Armored_OM2_Unitube_Cable-Rev11.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/fiber-cables/mm-unarmored-om2-unitube-cable","https://www.plexonics.com/images/DATASHEETS/2021September/Passive1/MM_Unarmored_OM2_Unitube_Cable-Rev11.pdf","MM_Unarmored_OM2_Unitube_Cable-Rev11.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/fiber-cables/mm-armored-om3-unitube-cable","https://www.plexonics.com/images/DATASHEETS/2021September/Passive1/Armored_Multi_Mode_OM3_Fiber_Cable_Unitube_design-Rev11.pdf","Armored_Multi_Mode_OM3_Fiber_Cable_Unitube_design-Rev11.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/fiber-cables/mm-unarmored-om3-unitube-cable","https://www.plexonics.com/images/DATASHEETS/2021September/Passive1/Unarmored_Multi_Mode_OM3_Fiber_Cable_Unitube_design-Rev11.pdf","Unarmored_Multi_Mode_OM3_Fiber_Cable_Unitube_design-Rev11.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/fiber-cables/mm-unarmored-om2-unitube-cable-2","https://www.plexonics.com/images/DATASHEETS/2021September/Passive1/MM_Unarmored_OM2_Unitube_Cable-Rev11.pdf","MM_Unarmored_OM2_Unitube_Cable-Rev11.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-accessories","https://www.plexonics.com/images/DATASHEETS/CAT_6_UTP_Shuttered_Patch_Panel-Rev1908-datasheet.pdf","CAT_6_UTP_Shuttered_Patch_Panel-Rev1908-datasheet.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-accessories/patch-cord-ca","https://www.plexonics.com/images/DATASHEETS/CAT_6_UTP_Patch_Cords_Rev12-datasheet.pdf","CAT_6_UTP_Patch_Cords_Rev12-datasheet.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-accessories/components-ca/cat6-keystone-jack","https://www.plexonics.com/images/DATASHEETS/2021September/Passive1/CAT_6_Keystone_Jacks-Rev11.pdf","CAT_6_Keystone_Jacks-Rev11.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-accessories/components-ca/cat6-stp-keystone","https://www.plexonics.com/images/DATASHEETS/2021September/Passive1/CAT_6_STP_Keystone_Jacks-Rev11.pdf","CAT_6_STP_Keystone_Jacks-Rev11.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-accessories/components-ca/shuttered-face-plate","https://www.plexonics.com/images/DATASHEETS/2021September/Passive1/Plexonics_Faceplates_86x86.pdf","Plexonics_Faceplates_86x86.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-accessories/components-ca/cat6a-keystone-jack","https://www.plexonics.com/images/DATASHEETS/2023/Copper/CAT_6A_Keystone_Jacks-Rev2006f.pdf","CAT_6A_Keystone_Jacks-Rev2006f.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-accessories/components-ca/pl-rj45-connectors","https://www.plexonics.com/images/DATASHEETS/PL-RJ45-Connector-ca-comp-datasheet.pdf","PL-RJ45-Connector-ca-comp-datasheet.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-accessories/components-ca/pl-24-port-unloaded-patch-panel","https://www.plexonics.com/images/DATASHEETS/PL-24-Port-Unloaded-Patch-Panel-CA-comp-datasheet.pdf","PL-24-Port-Unloaded-Patch-Panel-CA-comp-datasheet.pdf"
"https://www.plexonics.com/index.php/products/enterprise-networking/network-infrastructure/copper-accessories/components-ca/cat-6-utp-fully-loaded-shuttered-patch-panel","https://www.plexonics.com/images/DATASHEETS/2021September/Passive1/CAT_6_UTP_Shuttered_Patch_Panel-Rev1908.pdf","CAT_6_UTP_Shuttered_Patch_Panel-Rev1908.pdf"
